,Gap,Algorithm,Failed(Out Of 100),Mean Expansions,Mean Iterations,Mean Runtime(Seconds)
0,0.0,A*,0.0,7408.0,0.0,0.045
1,0.0,I-A*,0.0,15170.0,0.0,0.045
2,0.0,MM,0.0,12365.0,0.0,0.064
3,0.0,I-MM,0.0,30624.0,0.0,0.064
4,0.0,IDA*,0.0,18580.0,0.0,0.017
5,0.0,D-A*,0.0,17152.0,0.0,0.017
6,0.0,A*+IDA*(1.00),0.0,7469.0,0.0,0.05
7,0.0,A*+IDA*(0.90),0.0,8121.0,0.0,0.055
8,0.0,A*+IDA*(0.75),0.0,8327.0,0.0,0.045
9,0.0,A*+IDA*(0.50),0.0,9368.0,0.0,0.031
10,0.0,A*+IDA*(0.25),0.0,11226.0,0.0,0.02
11,0.0,A*+IDA*(0.10),0.0,12920.0,0.0,0.016
12,0.0,"MBBDS(k=1,ThreePhase=1)(1.00)",0.0,103126.0,4.0,0.161
13,0.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,142712.0,4.0,0.209
14,0.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,146952.0,4.0,0.205
15,0.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,211723.0,6.0,0.261
16,0.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,271555.0,7.0,0.316
17,0.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,1638521.0,43.0,1.837
18,0.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,137892.0,8.0,0.176
19,0.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,137941.0,8.0,0.175
20,0.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,142847.0,9.0,0.18
21,0.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,209815.0,10.0,0.246
22,0.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,271271.0,11.0,0.31
23,0.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,1634924.0,45.0,1.831
24,0.0,IDMM,0.0,18837.0,0.0,0.019
25,0.0,D-MM,0.0,14748.0,0.0,0.019
26,1.0,A*,0.0,216004.0,0.0,2.249
27,1.0,I-A*,0.0,462427.0,0.0,2.249
28,1.0,MM,0.0,190397.0,0.0,1.628
29,1.0,I-MM,0.0,341090.0,0.0,1.628
30,1.0,IDA*,0.0,1044737.0,0.0,1.079
31,1.0,D-A*,0.0,961973.0,0.0,1.079
32,1.0,A*+IDA*(1.00),0.0,281296.0,0.0,1.942
33,1.0,A*+IDA*(0.90),0.0,291505.0,0.0,1.834
34,1.0,A*+IDA*(0.75),0.0,304357.0,0.0,1.559
35,1.0,A*+IDA*(0.50),0.0,324811.0,0.0,1.113
36,1.0,A*+IDA*(0.25),0.0,373265.0,0.0,0.737
37,1.0,A*+IDA*(0.10),0.0,532322.0,0.0,0.665
38,1.0,"MBBDS(k=1,ThreePhase=1)(1.00)",0.0,431699.0,2.0,1.927
39,1.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,1794185.0,5.0,4.747
40,1.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,1824869.0,5.0,4.415
41,1.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,1974009.0,6.0,3.98
42,1.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,2889951.0,10.0,4.536
43,1.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,13009880.0,51.0,17.565
44,1.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,1700564.0,12.0,3.768
45,1.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,1715571.0,12.0,3.67
46,1.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,1765608.0,12.0,3.564
47,1.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,1940989.0,13.0,3.472
48,1.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,2882255.0,17.0,4.353
49,1.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,12988200.0,56.0,17.476
50,1.0,IDMM,0.0,633977.0,0.0,0.911
51,1.0,D-MM,0.0,424321.0,0.0,0.911
52,2.0,A*,0.0,2194767.0,0.0,27.475
53,2.0,I-A*,0.0,4719266.0,0.0,27.475
54,2.0,MM,0.0,726577.0,0.0,7.175
55,2.0,I-MM,0.0,1127257.0,0.0,7.175
56,2.0,IDA*,0.0,18196726.0,0.0,18.826
57,2.0,D-A*,0.0,16824250.0,0.0,18.826
58,2.0,A*+IDA*(1.00),0.0,3655143.0,0.0,12.168
59,2.0,A*+IDA*(0.90),0.0,3710380.0,0.0,11.33
60,2.0,A*+IDA*(0.75),0.0,4140870.0,0.0,10.517
61,2.0,A*+IDA*(0.50),0.0,5159964.0,0.0,9.477
62,2.0,A*+IDA*(0.25),0.0,6669769.0,0.0,8.884
63,2.0,A*+IDA*(0.10),0.0,8104670.0,0.0,9.068
64,2.0,"MBBDS(k=1,ThreePhase=1)(1.00)",0.0,828481.0,0.0,7.339
65,2.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,5627754.0,5.0,19.915
66,2.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,5600053.0,5.0,18.21
67,2.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,5616120.0,6.0,15.44
68,2.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,8195469.0,8.0,17.088
69,2.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,12916874.0,13.0,21.635
70,2.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,5329290.0,14.0,15.353
71,2.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,5335492.0,14.0,14.885
72,2.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,5373938.0,14.0,14.157
73,2.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,5494243.0,15.0,12.99
74,2.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,8134789.0,16.0,16.006
75,2.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,12893512.0,20.0,21.281
76,2.0,IDMM,0.0,12063874.0,0.0,20.299
77,2.0,D-MM,0.0,7169548.0,0.0,20.299
78,3.0,A*,0.0,8492710.0,0.0,115.379
79,3.0,I-A*,0.0,18170333.0,0.0,115.379
80,3.0,MM,0.0,986963.0,0.0,10.094
81,3.0,I-MM,0.0,1399871.0,0.0,10.094
82,3.0,IDA*,0.0,113511083.0,0.0,117.199
83,3.0,D-A*,0.0,105511964.0,0.0,117.199
84,3.0,A*+IDA*(1.00),0.0,22080639.0,0.0,36.506
85,3.0,A*+IDA*(0.90),0.0,23108021.0,0.0,36.167
86,3.0,A*+IDA*(0.75),0.0,24403721.0,0.0,35.532
87,3.0,A*+IDA*(0.50),0.0,27362872.0,0.0,35.125
88,3.0,A*+IDA*(0.25),0.0,35595908.0,0.0,40.162
89,3.0,A*+IDA*(0.10),0.0,42348075.0,0.0,44.905
90,3.0,"MBBDS(k=1,ThreePhase=1)(1.00)",0.0,986963.0,0.0,10.079
91,3.0,"MBBDS(k=1,ThreePhase=1)(0.90)",0.0,6115190.0,5.0,24.889
92,3.0,"MBBDS(k=1,ThreePhase=1)(0.75)",0.0,6076037.0,5.0,22.421
93,3.0,"MBBDS(k=1,ThreePhase=1)(0.50)",0.0,6012835.0,6.0,18.341
94,3.0,"MBBDS(k=1,ThreePhase=1)(0.25)",0.0,7817018.0,8.0,17.099
95,3.0,"MBBDS(k=1,ThreePhase=1)(0.10)",0.0,11034502.0,11.0,18.933
96,3.0,"MBBDS(k=1,ThreePhase=0)(1.00)",0.0,5604909.0,15.0,18.154
97,3.0,"MBBDS(k=1,ThreePhase=0)(0.90)",0.0,5669579.0,15.0,17.576
98,3.0,"MBBDS(k=1,ThreePhase=0)(0.75)",0.0,5734030.0,15.0,16.509
99,3.0,"MBBDS(k=1,ThreePhase=0)(0.50)",0.0,5803606.0,16.0,14.703
100,3.0,"MBBDS(k=1,ThreePhase=0)(0.25)",0.0,7703398.0,17.0,15.449
101,3.0,"MBBDS(k=1,ThreePhase=0)(0.10)",0.0,10988500.0,19.0,18.44
102,3.0,IDMM,0.0,114644537.0,0.0,203.861
103,3.0,D-MM,0.0,43431591.0,0.0,203.861
